url_id,business_function,page_title,source_url,final_url,normalized_decision,crawl_wave,status,status_code,content_chars,block_count,link_count,attachment_count,image_count,downloaded_attachment_count,downloaded_image_count,asset_failure_count,raw_html_path,response_meta_path,parsed_markdown_path,parsed_json_path,raw_sha256,parsed_content_sha256,error_type,error,finished_at,started_at,form_count,script_source_count,dynamic_diagnostic_path
MT-010,착오송금 반환 신청,퀵메뉴,https://fins.kdic.or.kr/ir/aplygudn/MtrsRelLawoRgul/selectScrn.do,https://fins.kdic.or.kr/ir/aplygudn/MtrsRelLawoRgul/selectScrn.do,include_full,W1_ASSET,parse_success,200.0,414,10.0,3.0,0,0,0.0,0.0,0,raw/html/착오송금 반환 신청/MT-010.html,raw/response_meta/착오송금 반환 신청/MT-010.json,parsed/markdown/착오송금 반환 신청/MT-010.md,parsed/json/착오송금 반환 신청/MT-010.json,85c6d4f6cc78a74f642150e6372c559b6b369975c3b6cd81228bcfc57864942a,c8625581045cf4bc01c89285ed6478a1dc7bd8f434be7007d9e36eaa3707d3d1,,,2026-07-13T16:10:57+09:00,2026-07-13T16:10:56+09:00,,,
MT-011,착오송금 반환 신청,퀵메뉴,https://fins.kdic.or.kr/ir/aplygudn/MtrsStutChc/selectScrn.do,https://fins.kdic.or.kr/ir/aplygudn/MtrsStutChc/selectScrn.do,include_full,W1_ASSET,parse_success,200.0,229,11.0,7.0,0,6,0.0,6.0,0,raw/html/착오송금 반환 신청/MT-011.html,raw/response_meta/착오송금 반환 신청/MT-011.json,parsed/markdown/착오송금 반환 신청/MT-011.md,parsed/json/착오송금 반환 신청/MT-011.json,d297ebf84e78c0ce7a02eefc1d71f481b30bb61910bad83d2227761d192c26d3,9cbcdee7ab617f84c4af8fd25987d2bb91ed2cbd8eb05385d08981f78a5c5570,,,2026-07-13T16:11:00+09:00,2026-07-13T16:10:58+09:00,,,
MT-012,착오송금 반환 신청,퀵메뉴,https://fins.kdic.or.kr/ir/aplygudn/MtrsVstRcptGudn/selectScrn.do,https://fins.kdic.or.kr/ir/aplygudn/MtrsVstRcptGudn/selectScrn.do,include_full,W1_STATIC,parse_success,200.0,811,20.0,1.0,0,5,0.0,0.0,0,raw/html/착오송금 반환 신청/MT-012.html,raw/response_meta/착오송금 반환 신청/MT-012.json,parsed/markdown/착오송금 반환 신청/MT-012.md,parsed/json/착오송금 반환 신청/MT-012.json,7524e7bcc226af4a02a78d7a5ceb2aa3f5e7740d271ea91e0934fa0fcae8622e,e0a4c40a97d34f9f21549c1647c7843877e8ab0ae229f98782c49c5fa48695a6,,,2026-07-13T16:11:02+09:00,2026-07-13T16:11:01+09:00,,,
MT-013,착오송금 반환 신청,퀵메뉴,https://fins.kdic.or.kr/ir/msdrpr/MsdrprAttnMttr/selectScrn.do,https://fins.kdic.or.kr/ir/msdrpr/MsdrprAttnMttr/selectScrn.do,include_full,W1_STATIC,parse_success,200.0,2534,18.0,1.0,0,4,0.0,0.0,0,raw/html/착오송금 반환 신청/MT-013.html,raw/response_meta/착오송금 반환 신청/MT-013.json,parsed/markdown/착오송금 반환 신청/MT-013.md,parsed/json/착오송금 반환 신청/MT-013.json,f4eab887521011cb24e954fb96fbe4fe115966dcdf535bc215310940d7b472cc,a9128bf38ebbb84ba13549bb94a9d290b7a3d791e09759d2c69633a45fbb6fc6,,,2026-07-13T16:11:05+09:00,2026-07-13T16:11:03+09:00,,,
MT-014,착오송금 반환 신청,착오송금반환지원 > 착오송금인 > 반환지원 신청하기 > 신청대상여부 확인,https://fins.kdic.or.kr/ir/msdrpr/selectAplyQlfcIdntyRslt.do,,link_only,META,link_metadata_created,,28,,,0,0,,,0,,,,,,,,,2026-07-13T16:11:06+09:00,2026-07-13T16:11:06+09:00,,,
DA-002,채무조정 안내,채무조정 재기지원 > 채무정보 조회 ＆ 상담신청,https://www.kdic.or.kr/rb/lbltajmt/LbltAjmtSprtLbltInfoInqDscsnAply/selectScrn.do,,link_only,META,link_metadata_created,,37,,,0,0,,,0,,,,,,,,,2026-07-13T16:11:06+09:00,2026-07-13T16:11:06+09:00,,,
DA-003,채무조정 안내,예금보험공사 관련사이트 케이알앤씨 채무조정,https://www.kdic.or.kr/di/relsite/PbcrKrncLblarb/selectScrn.do,https://www.kdic.or.kr/di/relsite/PbcrKrncLblarb/selectScrn.do,include_full,W1_STATIC,parse_success,200.0,1842,23.0,2.0,0,2,0.0,0.0,0,raw/html/채무조정 안내/DA-003.html,raw/response_meta/채무조정 안내/DA-003.json,parsed/markdown/채무조정 안내/DA-003.md,parsed/json/채무조정 안내/DA-003.json,57b39a549a12cd2d5d90ebab90478bfacb8ece31ec51eb3527ede530c0d5b867,6012c52ec4438e18886fabe9035e5b19d2def5f549d8335e581c3bf8873f586b,,,2026-07-13T16:11:07+09:00,2026-07-13T16:11:06+09:00,,,
DA-007,채무조정 안내,지원자금관리 > 부채증명원/금융거래정보신청,https://www.kdic.or.kr/sp/sprtfund/SprtFndDebtDlngAplyGudn/selectScrn.do,,link_only,META,link_metadata_created,,30,,,0,0,,,0,,,,,,,,,2026-07-13T16:11:08+09:00,2026-07-13T16:11:08+09:00,,,
HP-001,은닉재산 신고,제도·정책 지원자금관리 부실책임조사 금융부실관련자 은닉재산신고 신고센터,https://www.kdic.or.kr/sp/sprtfund/SprtFndCncmDclrGudn/selectScrn.do,https://www.kdic.or.kr/sp/sprtfund/SprtFndCncmDclrGudn/selectScrn.do,include_full,W1_STATIC,parse_success,200.0,2265,31.0,3.0,0,3,0.0,0.0,0,raw/html/은닉재산 신고/HP-001.html,raw/response_meta/은닉재산 신고/HP-001.json,parsed/markdown/은닉재산 신고/HP-001.md,parsed/json/은닉재산 신고/HP-001.json,1729adfa3d657bcf1f87d67eac1b9f7bfb9c7027fd1f2f592d2d7320fdf2b098,34635aae6a02f1161e522c05360f4b0bc5536bf7fb1500d790c34bdbbb16eb7d,,,2026-07-13T16:11:10+09:00,2026-07-13T16:11:08+09:00,,,
HP-002,은닉재산 신고,퀵메뉴,https://fins.kdic.or.kr/cm/bbs/selectFaqCncmPrptDclr.do,https://fins.kdic.or.kr/cm/bbs/selectFaqCncmPrptDclr.do,include_full,W1_STATIC,parse_success,200.0,2569,12.0,1.0,0,0,0.0,0.0,0,raw/html/은닉재산 신고/HP-002.html,raw/response_meta/은닉재산 신고/HP-002.json,parsed/markdown/은닉재산 신고/HP-002.md,parsed/json/은닉재산 신고/HP-002.json,0bad8b59f6f50291401f921ddedf64ba7896ee4762a91e2abc05270f286550b9,162ae825ce1d8c3f4fbb2815597c721773fffca9f49d4cec2c42adef8df4bc6f,,,2026-07-13T16:11:12+09:00,2026-07-13T16:11:11+09:00,,,
